Date,Open,High,Low,Close,Volume,Ex_Dividend,Split_Ratio,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume,document_type,10-K,10-K405,10-Q,424B2,424B3,424B5,8-A12B,8-K,CERTNYS,CORRESP,DEF 14A,DEFA14A,DEFR14A,DFAN14A,FWP,NO ACT,NT 10-K,NT 10-Q,PRE 14A,PX14A6G,S-3,S-3ASR,S-4,S-8,SC 13D,SC 13G,SC TO-I,SD,UPLOAD
1995-12-19,32.75,33.25,32.25,32.75,3847000.0,0.0,1.0,1.0522078645139,1.0682721067202,1.0361436223076,1.0522078645139,107716000.0,10-K,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-02-12,28.12,28.5,28.0,28.37,1734600.0,0.0,1.0,0.9034529816834102,0.91566180576021,0.89959756355389,0.91148510278657,48568800.0,10-Q,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-02-13,28.0,28.87,27.87,28.12,2040200.0,0.0,1.0,0.89959756355389,0.92754934499289,0.89542086058025,0.9034529816834102,57125600.0,SC 13G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1996-04-12,25.87,25.87,25.37,25.5,727100.0,0.0,1.0,0.83116389175497,0.83116389175497,0.8150996495486501,0.81927635252229,20358800.0,8-K,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-04-17,25.87,26.0,25.12,25.25,762600.0,0.0,1.0,0.83116389175497,0.8353405947286099,0.80706752844549,0.8112442314191299,21352800.0,SC 13D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1996-05-13,27.12,27.62,26.62,27.06,1669800.0,0.0,1.0,0.8713244972707701,0.88738873947709,0.8552602550644499,0.86939678820601,46754400.0,10-Q,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-06-17,24.12,24.12,23.62,23.62,1008300.0,0.0,1.0,0.77493904403285,0.77493904403285,0.7588748018265301,0.7588748018265301,28232400.0,8-K,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-07-02,21.37,21.5,21.0,21.0,794700.0,0.0,1.0,0.6865857118980899,0.6907624148717401,0.67469817266542,0.67469817266542,22251600.0,S-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1996-08-12,23.37,23.62,22.37,23.0,1351300.0,0.0,1.0,0.75084268072337,0.7588748018265301,0.71871419631073,0.7389551414907,37836400.0,10-Q,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-08-28,24.87,25.0,24.5,24.87,1460700.0,0.0,1.0,0.7990354073423299,0.8032121103159701,0.78714786810965,0.7990354073423299,40899600.0,S-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
