document_type,description,file_number
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007746 (33 Act)  Size: 332 KB,333-22267218919275
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005712 (33 Act)  Size: 398 KB,333-22267218919288
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007803 (33 Act)  Size: 302 KB,333-22267218920034
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005714 (33 Act)  Size: 194 KB,333-22267218919296
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005716 (33 Act)  Size: 269 KB,333-22267218919333
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005718 (33 Act)  Size: 291 KB,333-22267218919355
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005700 (33 Act)  Size: 416 KB,333-22267218919122
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007798 (33 Act)  Size: 275 KB,333-22267218919968
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005713 (33 Act)  Size: 192 KB,333-22267218919293
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005698 (33 Act)  Size: 219 KB,333-22267218919098
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005723 (33 Act)  Size: 255 KB,333-22267218919507
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005696 (33 Act)  Size: 219 KB,333-22267218919068
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005697 (33 Act)  Size: 219 KB,333-22267218919088
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005662 (33 Act)  Size: 244 KB,333-22267218917828
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005663 (33 Act)  Size: 164 KB,333-22267218917833
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005664 (33 Act)  Size: 205 KB,333-22267218917836
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005665 (33 Act)  Size: 382 KB,333-22267218917842
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005666 (33 Act)  Size: 794 KB,333-22267218917874
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005669 (33 Act)  Size: 244 KB,333-22267218917917
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005715 (33 Act)  Size: 312 KB,333-22267218919321
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007721 (33 Act)  Size: 136 KB,333-22267218917946
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005671 (33 Act)  Size: 255 KB,333-22267218917974
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005672 (33 Act)  Size: 519 KB,333-22267218917978
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005686 (33 Act)  Size: 447 KB,333-22267218918458
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005687 (33 Act)  Size: 434 KB,333-22267218918461
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0000019617-18-000143 (34 Act)  Size: 5 MB",001-0580518919045
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005695 (33 Act)  Size: 314 KB,333-22267218919060
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005790 (33 Act)  Size: 1 MB,333-22267218922591
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005784 (33 Act)  Size: 331 KB,333-22267218922288
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-004981 (33 Act)  Size: 156 KB,333-22267218922271
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-004980 (33 Act)  Size: 131 KB,333-22267218922258
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-004979 (33 Act)  Size: 321 KB,333-22267218922251
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005783 (33 Act)  Size: 562 KB,333-22267218922118
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005777 (33 Act)  Size: 453 KB,333-22267218922025
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005770 (33 Act)  Size: 352 KB,333-22267218921728
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005767 (33 Act)  Size: 309 KB,333-22267218921643
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005779 (33 Act)  Size: 558 KB,333-22267218922035
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005765 (33 Act)  Size: 617 KB,333-22267218921574
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005764 (33 Act)  Size: 286 KB,333-22267218921441
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005757 (33 Act)  Size: 128 KB,333-22267218921203
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007808 (33 Act)  Size: 136 KB,333-22267218920882
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005745 (33 Act)  Size: 432 KB,333-22267218920866
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005744 (33 Act)  Size: 356 KB,333-22267218920861
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005743 (33 Act)  Size: 440 KB,333-22267218920855
