document_type,description,file_number
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031511 (34 Act)  Size: 645 KB,333-22267218939989
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031512 (34 Act)  Size: 640 KB,333-22267218939992
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031524 (34 Act)  Size: 633 KB,333-22267218939993
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031515 (34 Act)  Size: 642 KB,333-22267218939991
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031519 (34 Act)  Size: 656 KB,333-22267218939990
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031517 (34 Act)  Size: 648 KB,333-22267218939994
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031533 (34 Act)  Size: 647 KB,333-22267218939978
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006272 (33 Act)  Size: 1 MB,333-22267218942268
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-008403 (33 Act)  Size: 151 KB,333-22267218943041
424B3,Prospectus [Rule 424(b)(3)]Acc-no: 0001615774-18-006264 (33 Act)  Size: 2 MB,333-22267218941946
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006267 (33 Act)  Size: 643 KB,333-22267218942192
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006310 (33 Act)  Size: 527 KB,333-22267218944806
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006309 (33 Act)  Size: 247 KB,333-22267218944720
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006307 (33 Act)  Size: 653 KB,333-22267218944570
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006306 (33 Act)  Size: 456 KB,333-22267218944546
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-008410 (33 Act)  Size: 176 KB,333-22267218944414
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006305 (33 Act)  Size: 456 KB,333-22267218944510
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001140361-18-031884 Size: 66 KB,
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001140361-18-031881 Size: 66 KB,
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006296 (33 Act)  Size: 308 KB,333-22267218944031
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006293 (33 Act)  Size: 160 KB,333-22267218943884
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005225 (33 Act)  Size: 177 KB,333-22267218943611
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001140361-18-031886 Size: 66 KB,
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001615774-18-006360 (34 Act)  Size: 439 KB,333-22267218946955
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006358 (33 Act)  Size: 244 KB,333-22267218946901
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006359 (33 Act)  Size: 1 MB,333-22267218946907
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006357 (33 Act)  Size: 757 KB,333-22267218946875
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006326 (33 Act)  Size: 291 KB,333-22267218945646
424B3,Prospectus [Rule 424(b)(3)]Acc-no: 0001615774-18-006356 (33 Act)  Size: 2 MB,333-22267218946865
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006354 (33 Act)  Size: 386 KB,333-22267218946829
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006322 (33 Act)  Size: 395 KB,333-22267218945577
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-008430 (33 Act)  Size: 201 KB,333-22267218946871
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006375 (33 Act)  Size: 242 KB,333-22267218948168
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006386 (33 Act)  Size: 254 KB,333-22267218948659
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-008480 (33 Act)  Size: 168 KB,333-22267218950943
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006435 (33 Act)  Size: 793 KB,333-22267218950712
424B3,Prospectus [Rule 424(b)(3)]Acc-no: 0001615774-18-006430 (33 Act)  Size: 2 MB,333-22267218950377
424B3,Prospectus [Rule 424(b)(3)]Acc-no: 0001615774-18-006429 (33 Act)  Size: 2 MB,333-22267218950371
424B3,Prospectus [Rule 424(b)(3)]Acc-no: 0001615774-18-006428 (33 Act)  Size: 2 MB,333-22267218950369
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006425 (33 Act)  Size: 613 KB,333-22267218950214
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006423 (33 Act)  Size: 663 KB,333-22267218949954
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006419 (33 Act)  Size: 210 KB,333-22267218949914
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006418 (33 Act)  Size: 202 KB,333-22267218949910
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006412 (33 Act)  Size: 203 KB,333-22267218949860
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006410 (33 Act)  Size: 306 KB,333-22267218949816
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-008460 (33 Act)  Size: 632 KB,333-22267218949492
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006404 (33 Act)  Size: 369 KB,333-22267218949460
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006396 (33 Act)  Size: 226 KB,333-22267218949335
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006422 (33 Act)  Size: 198 KB,333-22267218949948
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006476 (33 Act)  Size: 466 KB,333-22267218952507
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-008508 (33 Act)  Size: 164 KB,333-22267218952601
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006463 (33 Act)  Size: 383 KB,333-22267218952037
8-K,"Current report, items 2.02 and 9.01
Acc-no: 0000019617-18-000147 (34 Act)  Size: 7 MB",001-0580518951550
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006460 (33 Act)  Size: 396 KB,333-22267218951970
8-K,"Current report, items 7.01 and 9.01
Acc-no: 0000019617-18-000149 (34 Act)  Size: 2 MB",001-0580518951838
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006455 (33 Act)  Size: 216 KB,333-22267218951785
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006462 (33 Act)  Size: 131 KB,333-22267218952032
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006487 (33 Act)  Size: 650 KB,333-22267218953348
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-218357 (33 Act)  Size: 525 KB,333-20968118953631
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006516 (33 Act)  Size: 232 KB,333-22267218954296
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006563 (33 Act)  Size: 606 KB,333-22267218956794
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006564 (33 Act)  Size: 849 KB,333-22267218956808
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-008598 (33 Act)  Size: 429 KB,333-22267218956809
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006566 (33 Act)  Size: 1 MB,333-22267218956831
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006574 (33 Act)  Size: 396 KB,333-22267218956942
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006571 (33 Act)  Size: 553 KB,333-22267218956886
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006577 (33 Act)  Size: 194 KB,333-22267218956971
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006560 (33 Act)  Size: 251 KB,333-22267218956757
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006568 (33 Act)  Size: 1 MB,333-22267218956849
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006557 (33 Act)  Size: 525 KB,333-22267218956692
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001193125-18-219279 (34 Act)  Size: 24 KB,333-20968118955595
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006555 (33 Act)  Size: 261 KB,333-22267218956675
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-008571 (33 Act)  Size: 261 KB,333-22267218956024
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006543 (33 Act)  Size: 444 KB,333-22267218955847
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006542 (33 Act)  Size: 240 KB,333-22267218955790
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006538 (33 Act)  Size: 166 KB,333-22267218955629
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-008563 (33 Act)  Size: 157 KB,333-22267218955604
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006536 (33 Act)  Size: 280 KB,333-22267218955294
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001193125-18-219276 (34 Act)  Size: 26 KB,333-20968118955591
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001193125-18-219274 (34 Act)  Size: 30 KB,333-20968118955588
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-008591 (33 Act)  Size: 259 KB,333-22267218956678
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006650 (33 Act)  Size: 454 KB,333-22267218958796
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006648 (33 Act)  Size: 416 KB,333-22267218958781
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006645 (33 Act)  Size: 330 KB,333-22267218958647
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-220516 (33 Act)  Size: 571 KB,333-20968118958309
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006639 (33 Act)  Size: 300 KB,333-22267218958293
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006638 (33 Act)  Size: 510 KB,333-22267218958260
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005353 (33 Act)  Size: 189 KB,333-22267218958023
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006633 (33 Act)  Size: 538 KB,333-22267218958027
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001193125-18-220180 (34 Act)  Size: 23 KB,333-20968118957715
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006620 (33 Act)  Size: 199 KB,333-22267218957529
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006602 (33 Act)  Size: 524 KB,333-22267218957451
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006592 (33 Act)  Size: 289 KB,333-22267218957387
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006636 (33 Act)  Size: 400 KB,333-22267218958138
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006683 (33 Act)  Size: 239 KB,333-22267218961019
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006682 (33 Act)  Size: 252 KB,333-22267218960765
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006673 (33 Act)  Size: 480 KB,333-22267218960333
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005379 (33 Act)  Size: 128 KB,333-22267218960322
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006674 (33 Act)  Size: 209 KB,333-22267218960402
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005378 (33 Act)  Size: 107 KB,333-22267218960306
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006671 (33 Act)  Size: 703 KB,333-22267218960300
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-221249 (33 Act)  Size: 507 KB,333-20968118960014
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001193125-18-221051 (34 Act)  Size: 24 KB,333-20968118959637
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006672 (33 Act)  Size: 342 KB,333-22267218960319
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006727 (33 Act)  Size: 518 KB,333-22267218962789
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006719 (33 Act)  Size: 244 KB,333-22267218962515
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0000891092-18-005395 (34 Act)  Size: 18 KB,333-22267218962468
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006711 (33 Act)  Size: 239 KB,333-22267218962274
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006708 (33 Act)  Size: 342 KB,333-22267218962137
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005389 (33 Act)  Size: 217 KB,333-22267218961809
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005387 (33 Act)  Size: 134 KB,333-22267218961658
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-18-221982 (33 Act)  Size: 507 KB,333-20968118961542
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006691 (33 Act)  Size: 556 KB,333-22267218961286
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001615774-18-006685 (34 Act)  Size: 2 MB,333-22267218961174
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006704 (33 Act)  Size: 227 KB,333-22267218961914
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006754 (33 Act)  Size: 188 KB,333-22267218965203
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-18-223721 (34 Act)  Size: 43 KB",001-0580518964662
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006744 (33 Act)  Size: 485 KB,333-22267218963732
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006745 (33 Act)  Size: 252 KB,333-22267218963785
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006747 (33 Act)  Size: 396 KB,333-22267218964492
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005432 (33 Act)  Size: 278 KB,333-22267218967078
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005431 (33 Act)  Size: 265 KB,333-22267218967039
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006817 (33 Act)  Size: 352 KB,333-22267218966997
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005430 (33 Act)  Size: 266 KB,333-22267218966983
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006816 (33 Act)  Size: 277 KB,333-22267218966979
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006814 (33 Act)  Size: 502 KB,333-22267218966943
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006813 (33 Act)  Size: 312 KB,333-22267218966910
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006809 (33 Act)  Size: 194 KB,333-22267218966845
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006811 (33 Act)  Size: 432 KB,333-22267218966856
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006810 (33 Act)  Size: 210 KB,333-22267218966851
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006807 (33 Act)  Size: 467 KB,333-22267218966832
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006812 (33 Act)  Size: 453 KB,333-22267218966866
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006804 (33 Act)  Size: 424 KB,333-22267218966792
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006806 (33 Act)  Size: 412 KB,333-22267218966823
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006776 (33 Act)  Size: 643 KB,333-22267218966060
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006785 (33 Act)  Size: 243 KB,333-22267218966326
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005427 (33 Act)  Size: 227 KB,333-22267218966381
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006791 (33 Act)  Size: 397 KB,333-22267218966535
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005421 (33 Act)  Size: 289 KB,333-22267218965933
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006801 (33 Act)  Size: 185 KB,333-22267218966733
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006802 (33 Act)  Size: 425 KB,333-22267218966750
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005428 (33 Act)  Size: 246 KB,333-22267218966762
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005429 (33 Act)  Size: 250 KB,333-22267218966770
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006798 (33 Act)  Size: 229 KB,333-22267218966688
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006824 (33 Act)  Size: 232 KB,333-22267218967276
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006825 (33 Act)  Size: 217 KB,333-22267218967327
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006826 (33 Act)  Size: 516 KB,333-22267218967351
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006845 (33 Act)  Size: 258 KB,333-22267218968230
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006846 (33 Act)  Size: 292 KB,333-22267218968365
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006851 (33 Act)  Size: 604 KB,333-22267218968566
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006853 (33 Act)  Size: 188 KB,333-22267218969239
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006912 (33 Act)  Size: 501 KB,333-22267218972502
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006911 (33 Act)  Size: 543 KB,333-22267218972492
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006908 (33 Act)  Size: 167 KB,333-22267218972471
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005460 (33 Act)  Size: 193 KB,333-22267218971463
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006885 (33 Act)  Size: 192 KB,333-22267218971491
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006879 (33 Act)  Size: 431 KB,333-22267218971263
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006855 (33 Act)  Size: 574 KB,333-22267218969581
8-K,"Current report, items 3.03 and 9.01
Acc-no: 0001193125-18-227830 (34 Act)  Size: 34 KB",001-0580518972086
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006972 (33 Act)  Size: 326 KB,333-22267218975261
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005479 (33 Act)  Size: 197 KB,333-22267218975223
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006971 (33 Act)  Size: 326 KB,333-22267218975187
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006969 (33 Act)  Size: 337 KB,333-22267218975078
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006965 (33 Act)  Size: 520 KB,333-22267218975057
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006963 (33 Act)  Size: 431 KB,333-22267218974966
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006949 (33 Act)  Size: 269 KB,333-22267218974514
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005471 (33 Act)  Size: 351 KB,333-22267218974459
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006948 (33 Act)  Size: 237 KB,333-22267218974434
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006937 (33 Act)  Size: 432 KB,333-22267218973978
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005464 (33 Act)  Size: 214 KB,333-22267218973571
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006921 (33 Act)  Size: 118 KB,333-22267218972893
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006950 (33 Act)  Size: 684 KB,333-22267218974543
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006974 (33 Act)  Size: 250 KB,333-22267218975317
